SET
 departure_city  |  arrival_city   | min_price | max_price 
 Новосибирск     | Горно-Алтайск   |           |          
 Новосибирск     | Калуга          |           |          
 Новосибирск     | Удачный         |           |          
 Новосибирск     | Ханты-Мансийск  |           |          
 Новый Уренгой   | Красноярск      |           |          
 Норильск        | Надым           |           |          
 Нягань          | Ростов-на-Дону  |           |          
 Оренбург        | Элиста          |           |          
 Орск            | Курган          |           |          
 Орск            | Москва          |           |          
 Орск            | Ульяновск       |           |          
 Орск            | Ханты-Мансийск  |           |          
 Пенза           | Сочи            |           |          
 Пермь           | Нерюнгри        |           |          
 Петрозаводск    | Калуга          |           |          
 Петрозаводск    | Липецк          |           |          
 Петрозаводск    | Ростов-на-Дону  |           |          
 Псков           | Казань          |           |          
 Псков           | Москва          |           |          
 Ростов-на-Дону  | Белгород        |           |          
 Ростов-на-Дону  | Геленджик       |           |          
 Ростов-на-Дону  | Нягань          |           |          
 Ростов-на-Дону  | Петрозаводск    |           |          
 Ростов-на-Дону  | Томск           |           |          
 Самара          | Курск           |           |          
 Санкт-Петербург | Воркута         |           |          
 Санкт-Петербург | Нерюнгри        |           |          
 Санкт-Петербург | Удачный         |           |          
 Санкт-Петербург | Ярославль       |           |          
 Советский       | Тюмень          |           |          
 Сочи            | Иваново         |           |          
 Сочи            | Пенза           |           |          
 Сочи            | Ярославль       |           |          
 Ставрополь      | Горно-Алтайск   |           |          
 Сургут          | Воркута         |           |          
 Сургут          | Иркутск         |           |          
 Сургут          | Курск           |           |          
 Сургут          | Усть-Илимск     |           |          
 Сургут          | Челябинск       |           |          
 Сургут          | Чита            |           |          
 Томск           | Новокузнецк     |           |          
 Томск           | Ростов-на-Дону  |           |          
 Томск           | Ярославль       |           |          
 Тюмень          | Белоярский      |           |          
 Тюмень          | Нарьян-Мар      |           |          
 Тюмень          | Советский       |           |          
 Удачный         | Кемерово        |           |          
 Удачный         | Новосибирск     |           |          
 Удачный         | Санкт-Петербург |           |          
 Улан-Удэ        | Якутск          |           |          
 Ульяновск       | Нижневартовск   |           |          
 Ульяновск       | Орск            |           |          
 Усть-Илимск     | Красноярск      |           |          
 Усть-Илимск     | Сургут          |           |          
 Усть-Кут        | Красноярск      |           |          
 Ханты-Мансийск  | Киров           |           |          
 Ханты-Мансийск  | Новосибирск     |           |          
 Ханты-Мансийск  | Орск            |           |          
 Чебоксары       | Волгоград       |           |          
 Челябинск       | Сургут          |           |          
 Чита            | Сургут          |           |          
 Элиста          | Геленджик       |           |          
 Элиста          | Оренбург        |           |          
 Южно-Сахалинск  | Якутск          |           |          
 Якутск          | Барнаул         |           |          
 Якутск          | Улан-Удэ        |           |          
 Якутск          | Южно-Сахалинск  |           |          
 Ярославль       | Санкт-Петербург |           |          
 Ярославль       | Сочи            |           |          
 Ярославль       | Томск           |           |          
(149 rows)

